,Date,Price,Open,High,Low,Volume,pct_change,MA10,MA10_td,MA30,MA30_td,MA50,MA50_td,%K,%K_td,%D,%D_td,RSI,RSI_td,Momentum,Momentum_td,EMA12,EMA26,MACD,Signal,MACD_td,TP,SMA_TP,MD,CCI,CCI_td,MA,STD,Upper_BB,Lower_BB,BB_td,ATR,OBV,OBV_td,VWAP,VWAP_td,Fib_23.6,Fib_38.2,Fib_50.0,Fib_61.8,Tenkan_sen,Kijun_sen,Senkou_span_A,Senkou_span_B,Chikou_span,PMO,PMO_td,Volatility,Volatility_Ratio,Volatility_Ratio_td,TSI,TSI_td
20,2010-08-07,0.1,0.1,0.1,0.1,2620.0,0.0,0.1,0,,0,,0,,0,,0,,0,0.0,0,0.1,0.1,0.0,0.0,0,0.10000000000000002,0.10000000000000002,0.0,,0,0.1,0.0,0.1,0.1,,0.0,0.0,0,0.1,0,55822.6768,45155.011600000005,36533.200000000004,27911.388400000003,0.1,,,,0.1,,0,0.0,,0,,0
21,2010-08-08,0.1,0.1,0.1,0.1,2200.0,0.0,0.1,0,,0,,0,,0,,0,,0,0.0,0,0.1,0.1,0.0,0.0,0,0.10000000000000002,0.10000000000000002,0.0,,0,0.1,0.0,0.1,0.1,,0.0,0.0,0,0.1,0,55822.6768,45155.011600000005,36533.200000000004,27911.388400000003,0.1,,,,0.1,,0,0.0,,0,,0
22,2010-08-09,0.1,0.1,0.1,0.1,13630.0,0.0,0.1,0,,0,,0,,0,,0,,0,0.0,0,0.1,0.1,0.0,0.0,0,0.10000000000000002,0.10000000000000002,0.0,,0,0.1,0.0,0.1,0.1,,0.0,0.0,0,0.1,0,55822.6768,45155.011600000005,36533.200000000004,27911.388400000003,0.1,,,,0.1,,0,0.0,,0,,0
23,2010-08-10,0.1,0.1,0.1,0.1,1310.0,0.0,0.1,0,,0,,0,,0,,0,,0,0.0,0,0.1,0.1,0.0,0.0,0,0.10000000000000002,0.10000000000000002,0.0,,0,0.1,0.0,0.1,0.1,,0.0,0.0,0,0.1,0,55822.6768,45155.011600000005,36533.200000000004,27911.388400000003,0.1,,,,0.1,,0,0.0,,0,,0
24,2010-08-11,0.1,0.1,0.1,0.1,14060.0,0.0,0.1,0,,0,,0,,0,,0,,0,0.0,0,0.1,0.1,0.0,0.0,0,0.10000000000000002,0.10000000000000002,0.0,,0,0.1,0.0,0.1,0.1,,0.0,0.0,0,0.1,0,55822.6768,45155.011600000005,36533.200000000004,27911.388400000003,0.1,,,,0.1,,0,0.0,,0,,0
25,2010-08-12,0.1,0.1,0.1,0.1,2060.0,0.0,0.1,0,,0,,0,,0,,0,,0,0.0,0,0.1,0.1,0.0,0.0,0,0.10000000000000002,0.10000000000000002,0.0,,0,0.1,0.0,0.1,0.1,,0.0,0.0,0,0.1,0,55822.6768,45155.011600000005,36533.200000000004,27911.388400000003,0.1,0.1,,,0.1,,0,0.0,,0,,0
26,2010-08-13,0.1,0.1,0.1,0.1,3590.0,0.0,0.1,0,,0,,0,,0,,0,,0,0.0,0,0.1,0.1,0.0,0.0,0,0.10000000000000002,0.10000000000000002,0.0,,0,0.1,0.0,0.1,0.1,,0.0,0.0,0,0.1,0,55822.6768,45155.011600000005,36533.200000000004,27911.388400000003,0.1,0.1,,,0.1,,0,0.0,,0,,0
27,2010-08-14,0.1,0.1,0.1,0.1,4400.0,0.0,0.1,0,,0,,0,,0,,0,,0,0.0,0,0.1,0.1,0.0,0.0,0,0.10000000000000002,0.10000000000000002,0.0,,0,0.1,0.0,0.1,0.1,,0.0,0.0,0,0.1,0,55822.6768,45155.011600000005,36533.200000000004,27911.388400000003,0.1,0.1,,,0.1,,0,0.0,,0,,0
28,2010-08-15,0.1,0.1,0.1,0.1,4460.0,0.0,0.1,0,,0,,0,,0,,0,,0,0.0,0,0.1,0.1,0.0,0.0,0,0.10000000000000002,0.10000000000000002,0.0,,0,0.1,0.0,0.1,0.1,,0.0,0.0,0,0.1,0,55822.6768,45155.011600000005,36533.200000000004,27911.388400000003,0.1,0.1,,,0.1,,0,0.0,,0,,0
29,2010-08-16,0.1,0.1,0.1,0.1,10730.0,0.0,0.1,0,0.1,0,,0,,0,,0,,0,0.0,0,0.1,0.1,0.0,0.0,0,0.10000000000000002,0.10000000000000002,0.0,,0,0.1,0.0,0.1,0.1,,0.0,0.0,0,0.1,0,55822.6768,45155.011600000005,36533.200000000004,27911.388400000003,0.1,0.1,,,0.1,,0,0.0,,0,,0
30,2010-08-17,0.1,0.1,0.1,0.1,13190.0,0.0,0.1,0,0.1,0,,0,,0,,0,,0,0.0,0,0.1,0.1,0.0,0.0,0,0.10000000000000002,0.10000000000000002,0.0,,0,0.1,0.0,0.1,0.1,,0.0,0.0,0,0.1,0,55822.6768,45155.011600000005,36533.200000000004,27911.388400000003,0.1,0.1,,,0.1,,0,0.0,,0,,0
31,2010-08-18,0.1,0.1,0.1,0.1,2950.0,0.0,0.1,0,0.1,0,,0,,0,,0,,0,0.0,0,0.1,0.1,0.0,0.0,0,0.10000000000000002,0.10000000000000002,0.0,,0,0.1,0.0,0.1,0.1,,0.0,0.0,0,0.1,0,55822.6768,45155.011600000005,36533.200000000004,27911.388400000003,0.1,0.1,,,0.1,,0,0.0,,0,,0
32,2010-08-19,0.1,0.1,0.1,0.1,740.0,0.0,0.1,0,0.1,0,,0,,0,,0,,0,0.0,0,0.1,0.1,0.0,0.0,0,0.10000000000000002,0.10000000000000002,0.0,,0,0.1,0.0,0.1,0.1,,0.0,0.0,0,0.1,0,55822.6768,45155.011600000005,36533.200000000004,27911.388400000003,0.1,0.1,,,0.1,,0,0.0,,0,,0
33,2010-08-20,0.1,0.1,0.1,0.1,4200.0,0.0,0.1,0,0.1,0,,0,,0,,0,,0,0.0,0,0.1,0.1,0.0,0.0,0,0.10000000000000002,0.10000000000000002,0.0,,0,0.1,0.0,0.1,0.1,,0.0,0.0,0,0.1,0,55822.6768,45155.011600000005,36533.200000000004,27911.388400000003,0.1,0.1,,,0.1,,0,0.0,,0,,0
34,2010-08-21,0.1,0.1,0.1,0.1,10440.0,0.0,0.1,0,0.1,0,,0,,0,,0,,0,0.0,0,0.1,0.1,0.0,0.0,0,0.10000000000000002,0.10000000000000002,0.0,,0,0.1,0.0,0.1,0.1,,0.0,0.0,0,0.1,0,55822.6768,45155.011600000005,36533.200000000004,27911.388400000003,0.1,0.1,,,0.1,,0,0.0,,0,,0
35,2010-08-22,0.1,0.1,0.1,0.1,18650.0,0.0,0.1,0,0.1,0,,0,,0,,0,,0,0.0,0,0.1,0.1,0.0,0.0,0,0.10000000000000002,0.10000000000000002,0.0,,0,0.1,0.0,0.1,0.1,,0.0,0.0,0,0.1,0,55822.6768,45155.011600000005,36533.200000000004,27911.388400000003,0.1,0.1,,,0.1,,0,0.0,,0,,0
36,2010-08-23,0.1,0.1,0.1,0.1,4300.0,0.0,0.1,0,0.1,0,,0,,0,,0,,0,0.0,0,0.1,0.1,0.0,0.0,0,0.10000000000000002,0.10000000000000002,0.0,,0,0.1,0.0,0.1,0.1,,0.0,0.0,0,0.1,0,55822.6768,45155.011600000005,36533.200000000004,27911.388400000003,0.1,0.1,,,0.1,,0,0.0,,0,,0
37,2010-08-24,0.1,0.1,0.1,0.1,6710.0,0.0,0.1,0,0.1,0,,0,,0,,0,,0,0.0,0,0.1,0.1,0.0,0.0,0,0.10000000000000002,0.10000000000000002,0.0,,0,0.1,0.0,0.1,0.1,,0.0,0.0,0,0.1,0,55822.6768,45155.011600000005,36533.200000000004,27911.388400000003,0.1,0.1,,,0.1,,0,0.0,,0,,0
38,2010-08-25,0.1,0.1,0.1,0.1,4230.0,0.0,0.1,0,0.1,0,,0,,0,,0,,0,0.0,0,0.1,0.1,0.0,0.0,0,0.10000000000000002,0.10000000000000002,0.0,,0,0.1,0.0,0.1,0.1,,0.0,0.0,0,0.1,0,55822.6768,45155.011600000005,36533.200000000004,27911.388400000003,0.1,0.1,,,0.1,,0,0.0,,0,,0
39,2010-08-26,0.1,0.1,0.1,0.1,3870.0,0.0,0.1,0,0.1,0,,0,,0,,0,,0,0.0,0,0.1,0.1,0.0,0.0,0,0.10000000000000002,0.10000000000000002,0.0,,0,0.1,0.0,0.1,0.1,,0.0,0.0,0,0.1,0,55822.6768,45155.011600000005,36533.200000000004,27911.388400000003,0.1,0.1,,,0.1,,0,0.0,,0,,0
40,2010-08-27,0.1,0.1,0.1,0.1,9010.0,0.0,0.1,0,0.1,0,,0,,0,,0,,0,0.0,0,0.1,0.1,0.0,0.0,0,0.10000000000000002,0.10000000000000002,0.0,,0,0.1,0.0,0.1,0.1,,0.0,0.0,0,0.1,0,55822.6768,45155.011600000005,36533.200000000004,27911.388400000003,0.1,0.1,,,0.1,,0,0.0,,0,,0
41,2010-08-28,0.1,0.1,0.1,0.1,6170.0,0.0,0.1,0,0.1,0,,0,,0,,0,,0,0.0,0,0.1,0.1,0.0,0.0,0,0.10000000000000002,0.10000000000000002,0.0,,0,0.1,0.0,0.1,0.1,,0.0,0.0,0,0.1,0,55822.6768,45155.011600000005,36533.200000000004,27911.388400000003,0.1,0.1,,,0.1,,0,0.0,,0,,0
42,2010-08-29,0.1,0.1,0.1,0.1,3170.0,0.0,0.1,0,0.1,0,,0,,0,,0,,0,0.0,0,0.1,0.1,0.0,0.0,0,0.10000000000000002,0.10000000000000002,0.0,,0,0.1,0.0,0.1,0.1,,0.0,0.0,0,0.1,0,55822.6768,45155.011600000005,36533.200000000004,27911.388400000003,0.1,0.1,,,0.1,,0,0.0,,0,,0
43,2010-08-30,0.1,0.1,0.1,0.0,34190.0,0.0,0.1,0,0.1,0,,0,100.0,0,,0,,0,0.0,0,0.1,0.1,0.0,0.0,0,0.06666666666666667,0.09833333333333336,0.003166666666666665,-666.6666666666677,1,0.1,0.0,0.1,0.1,,0.0071428571428571435,0.0,0,0.1,0,55822.6768,45155.011600000005,36533.200000000004,27911.388400000003,0.05,0.05,,,0.1,,0,0.0,,0,0.0,0
