,Date,Open,High,Low,Close,Adj Close,Volume,Returns
0,2017-12-31,12897.700195,14377.400391,12755.599609,14156.400391,14156.400391,12136299520.0,
1,2018-01-01,14112.200195,14112.200195,13154.700195,13657.200195,13657.200195,10291200000.0,-0.03526321538046984
2,2018-01-02,13625.0,15444.599609,13163.599609,14982.099609,14982.099609,16846600192.0,0.09701105607905314
3,2018-01-03,14978.200195,15572.799805,14844.5,15201.0,15201.0,16871900160.0,0.014610795329948356
4,2018-01-04,15270.700195,15739.700195,14522.200195,15599.200195,15599.200195,21783199744.0,0.026195657851457055
5,2018-01-05,15477.200195,17705.199219,15202.799805,17429.5,17429.5,23840899072.0,0.11733292618339908
6,2018-01-06,17462.099609,17712.400391,16764.599609,17527.0,17527.0,18314600448.0,0.005593964256002781
7,2018-01-07,17527.300781,17579.599609,16087.700195,16477.599609,16477.599609,15866000384.0,-0.059873360586523594
8,2018-01-08,16476.199219,16537.900391,14208.200195,15170.099609,15170.099609,18413899776.0,-0.07935014996273171
9,2018-01-09,15123.700195,15497.5,14424.0,14595.400391,14595.400391,16659999744.0,-0.03788368124221464
10,2018-01-10,14588.5,14973.299805,13691.200195,14973.299805,14973.299805,18500800512.0,0.02589167846556828
11,2018-01-11,14968.200195,15018.799805,13105.900391,13405.799805,13405.799805,16534099968.0,-0.10468634305155422
12,2018-01-12,13453.900391,14229.900391,13158.099609,13980.599609,13980.599609,12065699840.0,0.04287694970542644
13,2018-01-13,13952.400391,14659.5,13952.400391,14360.200195,14360.200195,12763599872.0,0.02715195317914909
14,2018-01-14,14370.799805,14511.799805,13268.0,13772.0,13772.0,11084099584.0,-0.04096044532894472
15,2018-01-15,13767.299805,14445.5,13641.700195,13819.799805,13819.799805,12750799872.0,0.003470796180656377
16,2018-01-16,13836.099609,13843.099609,10194.900391,11490.5,11490.5,18853799936.0,-0.1685480135650923
17,2018-01-17,11431.099609,11678.0,9402.290039,11188.599609,11188.599609,18830600192.0,-0.026273912449414683
18,2018-01-18,11198.799805,12107.299805,10942.5,11474.900391,11474.900391,15020399616.0,0.025588616270592057
19,2018-01-19,11429.799805,11992.799805,11172.099609,11607.400391,11607.400391,10740400128.0,0.011546941192092763
20,2018-01-20,11656.200195,13103.0,11656.200195,12899.200195,12899.200195,11801700352.0,0.11129105230156622
21,2018-01-21,12889.200195,12895.900391,11288.200195,11600.099609,11600.099609,9935179776.0,-0.10071171594837003
22,2018-01-22,11633.099609,11966.400391,10240.200195,10931.400391,10931.400391,10537400320.0,-0.057645989305228684
